,movie,year,timeMin,imdb,votes,us_grossMillions
0,Top Gun: Maverick,2022,130,8.5,310902,
1,Thirteen Lives,2022,147,7.8,31065,
2,Everything Everywhere All at Once,2022,139,8.2,186073,
3,Predator,1987,107,7.8,416367,59.74
4,The Batman,2022,176,7.9,579442,
5,The Godfather,1972,175,9.2,1823954,134.97
6,Spider-Man: No Way Home,2021,148,8.3,711454,804.75
7,RRR,2022,187,8.0,100514,
8,The Shawshank Redemption,1994,142,9.3,2632151,28.34
9,Once Upon a Time... In Hollywood,2019,161,7.6,713963,142.5
10,Get Out,2017,104,7.7,585601,176.04
11,Dune,2021,155,8.0,603074,108.33
12,Forrest Gump,1994,142,8.8,2037158,330.25
13,Pulp Fiction,1994,154,8.9,2014774,107.93
14,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,1827123,315.54
15,Interstellar,2014,169,8.6,1774189,188.02
16,Heat,1995,170,8.3,646045,67.44
17,The Wolf of Wall Street,2013,180,8.2,1373117,116.9
18,The Dark Knight,2008,152,9.0,2603411,534.86
19,Harry Potter and the Sorcerer's Stone,2001,152,7.6,764392,317.58
20,Rocketry: The Nambi Effect,2022,157,9.0,41013,
21,Avengers: Endgame,2019,181,8.4,1093531,858.37
22,Fight Club,1999,139,8.8,2076009,37.03
23,American Psycho,2000,102,7.6,592723,15.07
24,Blade Runner 2049,2017,164,8.0,556397,92.05
25,Inception,2010,148,8.8,2308423,292.58
26,Goodfellas,1990,145,8.7,1140449,46.84
27,Titanic,1997,194,7.9,1154056,659.33
28,Jurassic Park,1993,127,8.2,974759,402.45
29,The Departed,2006,151,8.5,1305704,132.38
30,Whiplash,2014,106,8.5,833710,13.09
31,Parasite,2019,132,8.5,770773,53.37
32,Se7en,1995,127,8.6,1618302,100.13
33,Donnie Brasco,1997,127,7.7,306315,41.91
34,Alien,1979,117,8.5,868060,78.9
35,Joker,2019,122,8.4,1233377,335.45
36,Jaws,1975,124,8.1,596109,260.0
37,The Silence of the Lambs,1991,118,8.6,1407027,130.74
38,Inglourious Basterds,2009,153,8.3,1420444,120.54
39,Knives Out,2019,130,7.9,606200,165.36
40,Superbad,2007,113,7.6,573203,121.46
41,CODA,2021,111,8.0,122599,
42,The Lord of the Rings: The Return of the King,2003,201,9.0,1805414,377.85
43,1917,2019,119,8.2,569236,159.23
44,Stand by Me,1986,89,8.1,399188,52.29
45,The Gentlemen,2019,113,7.8,328899,
46,Gone Girl,2014,149,8.1,967567,167.77
47,The Godfather Part II,1974,202,9.0,1251373,57.3
48,Deadpool,2016,108,8.0,1017256,363.07
49,Django Unchained,2012,165,8.4,1522901,162.81
